round,client_id,mec_id,uplink_mbps,latency_ms,packet_loss
0,0,0,1.0,100.0,0.05
0,1,1,1.0,100.0,0.05
0,2,0,50.0,10.0,0.0
0,3,1,50.0,10.0,0.0
0,4,0,50.0,10.0,0.0
1,0,0,1.0,100.0,0.05
1,1,1,1.0,100.0,0.05
1,2,0,50.0,10.0,0.0
1,3,1,50.0,10.0,0.0
1,4,0,50.0,10.0,0.0
2,0,0,1.0,100.0,0.05
2,1,1,1.0,100.0,0.05
2,2,0,50.0,10.0,0.0
2,3,1,50.0,10.0,0.0
2,4,0,50.0,10.0,0.0
3,0,0,1.0,100.0,0.05
3,1,1,1.0,100.0,0.05
3,2,0,50.0,10.0,0.0
3,3,1,50.0,10.0,0.0
3,4,0,50.0,10.0,0.0
4,0,0,1.0,100.0,0.05
4,1,1,1.0,100.0,0.05
4,2,0,50.0,10.0,0.0
4,3,1,50.0,10.0,0.0
4,4,0,50.0,10.0,0.0
