round,client_id,mec_id,uplink_mbps,latency_ms,packet_loss
0,0,2,0.050496,185.42,0
0,1,2,0,0,0
0,2,2,0.033664,216.971,0
0,3,3,0.193568,23.4528,0
0,4,1,0.143072,75.651,0
0,5,1,0.08416,133.119,0
0,6,2,0,0,0
0,7,2,0,0,0
0,8,2,0,0,0
0,9,2,0,0,0
0,10,2,0,0,0
0,11,3,0.075744,149.455,0
0,12,1,0.143072,75.6519,0
0,13,3,0.075744,145.566,0
0,14,2,0.033664,217.221,0
0,15,2,0,0,0
0,16,1,0.193568,22.2793,0
0,17,3,0.04208,194.379,0
0,18,3,0.025248,31.4957,0
0,19,2,0.050496,185.254,0
1,0,2,0.185152,448.294,0
1,1,2,0,0,0
1,2,2,0.075744,406.788,0
1,3,3,0.698528,25.2959,0
1,4,1,0.538624,159.211,0
1,5,1,0.328224,277.009,0
1,6,2,0,0,0
1,7,2,0,0,0
1,8,2,0,0,0
1,9,2,0,0,0
1,10,2,0,0,0
1,11,3,0.277728,318.477,0
1,12,1,0.555456,158.427,0
1,13,3,0.260896,310.143,0
1,14,2,0.117824,570.447,0
1,15,2,0,0,0
1,16,1,0.698528,21.7901,0
1,17,3,0.151488,495.234,0
1,18,3,0.025248,31.4957,0
1,19,2,0.159904,437.178,0
2,0,2,0.319808,514.202,0
2,1,2,0,0,0
2,2,2,0.075744,406.788,0
2,3,3,1.20349,26.9244,0
2,4,1,0.92576,179.535,0
2,5,1,0.563872,303.187,0
2,6,2,0,0,0
2,7,2,0,0,0
2,8,2,0,0,0
2,9,2,0.008416,307.2,0
2,10,2,0,0,0
2,11,3,0.4208,365.466,0
2,12,1,1.13616,121.246,0
2,13,3,0.37872,420.219,0
2,14,2,0.2104,712.248,0
2,15,2,0,0,0
2,16,1,1.09408,63.8415,0
2,17,3,0.269312,594.466,0
2,18,3,0.025248,31.4957,0
2,19,2,0.244064,580.24,0
3,0,2,0.454464,540.841,0
3,1,2,0,0,0
3,2,2,0.075744,406.788,0
3,3,3,1.72528,28.6443,0
3,4,1,1.32131,187.623,0
3,5,1,0.807936,313.969,0
3,6,2,0,0,0
3,7,2,0,0,0
3,8,2,0,0,0
3,9,2,0.008416,307.2,0
3,10,2,0,0,0
3,11,3,0.454464,394.249,0
3,12,1,1.64954,90.245,0
3,13,3,0.488128,487.927,0
3,14,2,0.345056,709.067,0
3,15,2,0,0,0
3,16,1,1.48963,101.495,0
3,17,3,0.37872,631.161,0
3,18,3,0.025248,31.4957,0
3,19,2,0.269312,684.851,0
4,0,2,0.58912,554.833,0
4,1,2,0,0,0
4,2,2,0.075744,406.788,0
4,3,3,2.14608,45.4296,0
4,4,1,1.77578,186.065,0
4,5,1,1.04358,319.323,0
4,6,2,0,0,0
4,7,2,0.008416,283.812,0
4,8,2,0,0,0
4,9,2,0.008416,307.2,0
4,10,2,0,0,0
4,11,3,0.454464,394.249,0
4,12,1,2.16291,73.9529,0
4,13,3,0.58912,528.898,0
4,14,2,0.479712,676.897,0
4,15,2,0,0,0
4,16,1,1.87677,123.089,0
4,17,3,0.496544,652.631,0
4,18,3,0.033664,65.6604,0
4,19,2,0.361888,873.105,0
5,0,2,0.723776,563.404,0
5,1,2,0,0,0
5,2,2,0.075744,406.788,0
5,3,3,2.55846,69.3538,0
5,4,1,2.33965,153.636,0
5,5,1,1.30448,320.138,0
5,6,2,0,0,0
5,7,2,0.008416,283.812,0
5,8,2,0,0,0
5,9,2,0.008416,307.2,0
5,10,2,0.008416,366.474,0
5,11,3,0.454464,394.249,0
5,12,1,2.67629,63.8924,0
5,13,3,0.58912,528.898,0
5,14,2,0.597536,664.147,0
