round,client_id,mec_id,uplink_mbps,latency_ms,packet_loss
0,0,0,0.828134,30.6003,0.00606061
0,1,0,0.831501,28.5051,0.0020202
0,2,0,0.831501,28.506,0.0020202
0,3,1,0.812986,23.8442,0.0242424
0,4,0,0.831501,23.1659,0.0020202
1,0,0,1.66637,35.1142,0.01
1,1,0,1.67899,31.5539,0.0025
1,2,0,1.6832,29.9386,0
1,3,1,1.6832,23.5348,0
1,4,0,1.6832,22.9294,0
2,0,0,1.59315,62.9553,0.0535
2,1,0,1.6529,41.2219,0.018
2,2,0,1.68488,29.9318,0
2,3,1,1.68488,23.6135,0
2,4,0,1.68488,22.5463,0
3,0,0,0,10,1
3,1,1,0,10,1
3,2,0,0,10,1
3,3,1,0,10,1
3,4,0,0,10,1
4,0,0,0,10,1
4,1,1,0,10,1
4,2,0,0,10,1
4,3,1,0,10,1
4,4,0,0,10,1
